,image,superpixels,compactness,model,shap_value,predicted,predicted_var,P(e = 0)
0,Llama.png,10,10,alexnet,3.084994060193589,[9.56814482],[1.70861939],0.2537817116512527
1,Llama.png,10,10,alexnet,-0.02075431744911921,[9.56814482],[1.70861939],0.2537817116512527
2,Llama.png,10,10,alexnet,1.906440009096272,[9.56814482],[1.70861939],0.2537817116512527
3,Llama.png,10,10,alexnet,11.16432763057129,[9.56814482],[1.70861939],0.2537817116512527
4,Llama.png,10,10,alexnet,1.7182736887539467,[9.56814482],[1.70861939],0.2537817116512527
5,Llama.png,10,10,alexnet,1.0360287858515211,[9.56814482],[1.70861939],0.2537817116512527
0,Llama.png,10,10,alexnet,2.2368010617120966,[10.56095287],[2.37152365],0.1907076205367494
1,Llama.png,10,10,alexnet,0.793516002219161,[10.56095287],[2.37152365],0.1907076205367494
2,Llama.png,10,10,alexnet,1.5018211350341804,[10.56095287],[2.37152365],0.1907076205367494
3,Llama.png,10,10,alexnet,15.967980957629624,[10.56095287],[2.37152365],0.1907076205367494
4,Llama.png,10,10,alexnet,1.7539069033709176,[10.56095287],[2.37152365],0.1907076205367494
5,Llama.png,10,10,alexnet,1.1026375122807675,[10.56095287],[2.37152365],0.1907076205367494
0,Llama.png,10,1000,alexnet,3.3211210897235737,[10.17869649],[1.33441303],0.33277755031291006
1,Llama.png,10,1000,alexnet,2.1674982959167677,[10.17869649],[1.33441303],0.33277755031291006
2,Llama.png,10,1000,alexnet,0.8357987285611128,[10.17869649],[1.33441303],0.33277755031291006
3,Llama.png,10,1000,alexnet,0.9410418827764442,[10.17869649],[1.33441303],0.33277755031291006
4,Llama.png,10,1000,alexnet,1.6857350193183325,[10.17869649],[1.33441303],0.33277755031291006
5,Llama.png,10,1000,alexnet,1.5563814442740433,[10.17869649],[1.33441303],0.33277755031291006
6,Llama.png,10,1000,alexnet,2.40031713944155,[10.17869649],[1.33441303],0.33277755031291006
7,Llama.png,10,1000,alexnet,2.847414226083477,[10.17869649],[1.33441303],0.33277755031291006
8,Llama.png,10,1000,alexnet,3.821285439836541,[10.17869649],[1.33441303],0.33277755031291006
0,Llama.png,10,1000,alexnet,2.5735055185125595,[10.31829969],[1.6106508],0.3390447614862004
1,Llama.png,10,1000,alexnet,3.56046320653225,[10.31829969],[1.6106508],0.3390447614862004
2,Llama.png,10,1000,alexnet,0.005470771157490173,[10.31829969],[1.6106508],0.3390447614862004
3,Llama.png,10,1000,alexnet,1.197186170191662,[10.31829969],[1.6106508],0.3390447614862004
4,Llama.png,10,1000,alexnet,1.6510628428855036,[10.31829969],[1.6106508],0.3390447614862004
5,Llama.png,10,1000,alexnet,0.65710661070236,[10.31829969],[1.6106508],0.3390447614862004
6,Llama.png,10,1000,alexnet,3.2540138543685417,[10.31829969],[1.6106508],0.3390447614862004
7,Llama.png,10,1000,alexnet,2.4731186088825403,[10.31829969],[1.6106508],0.3390447614862004
8,Llama.png,10,1000,alexnet,3.9413921348298473,[10.31829969],[1.6106508],0.3390447614862004
0,Llama.png,20,10,alexnet,-0.8244384099317656,[10.19709267],[1.61427106],0.34752042147158596
1,Llama.png,20,10,alexnet,1.1777321839919264,[10.19709267],[1.61427106],0.34752042147158596
2,Llama.png,20,10,alexnet,1.552741135601023,[10.19709267],[1.61427106],0.34752042147158596
3,Llama.png,20,10,alexnet,1.9884954177042409,[10.19709267],[1.61427106],0.34752042147158596
4,Llama.png,20,10,alexnet,1.7996818822942797,[10.19709267],[1.61427106],0.34752042147158596
5,Llama.png,20,10,alexnet,-0.08622358736743774,[10.19709267],[1.61427106],0.34752042147158596
6,Llama.png,20,10,alexnet,1.5705024523421791,[10.19709267],[1.61427106],0.34752042147158596
7,Llama.png,20,10,alexnet,1.3100820506466153,[10.19709267],[1.61427106],0.34752042147158596
8,Llama.png,20,10,alexnet,1.9081036737639032,[10.19709267],[1.61427106],0.34752042147158596
9,Llama.png,20,10,alexnet,1.692032133347554,[10.19709267],[1.61427106],0.34752042147158596
10,Llama.png,20,10,alexnet,5.161908446237597,[10.19709267],[1.61427106],0.34752042147158596
11,Llama.png,20,10,alexnet,1.7937041306830377,[10.19709267],[1.61427106],0.34752042147158596
0,Llama.png,20,10,alexnet,1.1114095670171653,[10.33365638],[2.16795979],0.25912207510296387
1,Llama.png,20,10,alexnet,0.1199153559509396,[10.33365638],[2.16795979],0.25912207510296387
2,Llama.png,20,10,alexnet,-0.25218480650170694,[10.33365638],[2.16795979],0.25912207510296387
3,Llama.png,20,10,alexnet,7.695625944566026,[10.33365638],[2.16795979],0.25912207510296387
4,Llama.png,20,10,alexnet,5.337662854220561,[10.33365638],[2.16795979],0.25912207510296387
5,Llama.png,20,10,alexnet,-0.02977545428731787,[10.33365638],[2.16795979],0.25912207510296387
6,Llama.png,20,10,alexnet,-0.07976681879117287,[10.33365638],[2.16795979],0.25912207510296387
7,Llama.png,20,10,alexnet,0.04039180881138815,[10.33365638],[2.16795979],0.25912207510296387
8,Llama.png,20,10,alexnet,0.16081945009198106,[10.33365638],[2.16795979],0.25912207510296387
9,Llama.png,20,10,alexnet,3.202727356845911,[10.33365638],[2.16795979],0.25912207510296387
10,Llama.png,20,10,alexnet,2.56565438048613,[10.33365638],[2.16795979],0.25912207510296387
11,Llama.png,20,10,alexnet,1.736712147212835,[10.33365638],[2.16795979],0.25912207510296387
0,Llama.png,20,1000,alexnet,0.7193395885021543,[10.29899527],[1.50629228],0.3739906720565412
1,Llama.png,20,1000,alexnet,0.7463234154428955,[10.29899527],[1.50629228],0.3739906720565412
2,Llama.png,20,1000,alexnet,0.9136811827273532,[10.29899527],[1.50629228],0.3739906720565412
3,Llama.png,20,1000,alexnet,1.4752524084034042,[10.29899527],[1.50629228],0.3739906720565412
4,Llama.png,20,1000,alexnet,0.38455878137669774,[10.29899527],[1.50629228],0.3739906720565412
5,Llama.png,20,1000,alexnet,0.20383543794796388,[10.29899527],[1.50629228],0.3739906720565412
6,Llama.png,20,1000,alexnet,-0.33895460963817303,[10.29899527],[1.50629228],0.3739906720565412
7,Llama.png,20,1000,alexnet,1.3700882171883961,[10.29899527],[1.50629228],0.3739906720565412
8,Llama.png,20,1000,alexnet,1.1611422340945388,[10.29899527],[1.50629228],0.3739906720565412
9,Llama.png,20,1000,alexnet,-0.17290598297750837,[10.29899527],[1.50629228],0.3739906720565412
10,Llama.png,20,1000,alexnet,1.2479462585586085,[10.29899527],[1.50629228],0.3739906720565412
11,Llama.png,20,1000,alexnet,1.6938937339031055,[10.29899527],[1.50629228],0.3739906720565412
12,Llama.png,20,1000,alexnet,2.918363015717331,[10.29899527],[1.50629228],0.3739906720565412
13,Llama.png,20,1000,alexnet,2.0931051585672513,[10.29899527],[1.50629228],0.3739906720565412
14,Llama.png,20,1000,alexnet,1.293753543559677,[10.29899527],[1.50629228],0.3739906720565412
15,Llama.png,20,1000,alexnet,3.3015390566587413,[10.29899527],[1.50629228],0.3739906720565412
0,Llama.png,20,1000,alexnet,-0.4125381017467733,[10.30457419],[1.81077657],0.3111137931987988
1,Llama.png,20,1000,alexnet,2.848229881546977,[10.30457419],[1.81077657],0.3111137931987988
2,Llama.png,20,1000,alexnet,-0.9417017040544806,[10.30457419],[1.81077657],0.3111137931987988
3,Llama.png,20,1000,alexnet,-0.29749806120966227,[10.30457419],[1.81077657],0.3111137931987988
4,Llama.png,20,1000,alexnet,-0.18147648433431485,[10.30457419],[1.81077657],0.3111137931987988
5,Llama.png,20,1000,alexnet,4.8265975185598595,[10.30457419],[1.81077657],0.3111137931987988
6,Llama.png,20,1000,alexnet,-0.7682523315088714,[10.30457419],[1.81077657],0.3111137931987988
7,Llama.png,20,1000,alexnet,-0.7206259707757585,[10.30457419],[1.81077657],0.3111137931987988
8,Llama.png,20,1000,alexnet,0.20643418336262753,[10.30457419],[1.81077657],0.3111137931987988
9,Llama.png,20,1000,alexnet,2.6973037336345644,[10.30457419],[1.81077657],0.3111137931987988
10,Llama.png,20,1000,alexnet,2.020962756897052,[10.30457419],[1.81077657],0.3111137931987988
11,Llama.png,20,1000,alexnet,2.190114637570222,[10.30457419],[1.81077657],0.3111137931987988
12,Llama.png,20,1000,alexnet,1.2337628648942816,[10.30457419],[1.81077657],0.3111137931987988
13,Llama.png,20,1000,alexnet,3.681814768532275,[10.30457419],[1.81077657],0.3111137931987988
14,Llama.png,20,1000,alexnet,1.5369150518424166,[10.30457419],[1.81077657],0.3111137931987988
15,Llama.png,20,1000,alexnet,2.0092362500158663,[10.30457419],[1.81077657],0.3111137931987988
0,Llama.png,30,10,alexnet,1.1477362274103893,[10.30365612],[1.55299589],0.36282652831188217
1,Llama.png,30,10,alexnet,0.5583035477320468,[10.30365612],[1.55299589],0.36282652831188217
2,Llama.png,30,10,alexnet,0.30950934455969703,[10.30365612],[1.55299589],0.36282652831188217
3,Llama.png,30,10,alexnet,0.9825576989266969,[10.30365612],[1.55299589],0.36282652831188217
4,Llama.png,30,10,alexnet,2.179039408340984,[10.30365612],[1.55299589],0.36282652831188217
5,Llama.png,30,10,alexnet,1.269056493978916,[10.30365612],[1.55299589],0.36282652831188217
6,Llama.png,30,10,alexnet,0.2677008916453154,[10.30365612],[1.55299589],0.36282652831188217
7,Llama.png,30,10,alexnet,-0.8395969141770845,[10.30365612],[1.55299589],0.36282652831188217
8,Llama.png,30,10,alexnet,-1.4525545779010507,[10.30365612],[1.55299589],0.36282652831188217
9,Llama.png,30,10,alexnet,-0.4635992403340783,[10.30365612],[1.55299589],0.36282652831188217
10,Llama.png,30,10,alexnet,0.6045754301361161,[10.30365612],[1.55299589],0.36282652831188217
11,Llama.png,30,10,alexnet,0.5009296045018008,[10.30365612],[1.55299589],0.36282652831188217
12,Llama.png,30,10,alexnet,1.066915159556241,[10.30365612],[1.55299589],0.36282652831188217
13,Llama.png,30,10,alexnet,1.3342271323116761,[10.30365612],[1.55299589],0.36282652831188217
14,Llama.png,30,10,alexnet,1.366742535774308,[10.30365612],[1.55299589],0.36282652831188217
15,Llama.png,30,10,alexnet,1.8893807511874927,[10.30365612],[1.55299589],0.36282652831188217
16,Llama.png,30,10,alexnet,2.2470440214242315,[10.30365612],[1.55299589],0.36282652831188217
17,Llama.png,30,10,alexnet,1.1559625872356105,[10.30365612],[1.55299589],0.36282652831188217
18,Llama.png,30,10,alexnet,2.6681618061726353,[10.30365612],[1.55299589],0.36282652831188217
19,Llama.png,30,10,alexnet,2.4528487594766193,[10.30365612],[1.55299589],0.36282652831188217
0,Llama.png,30,10,alexnet,-0.07251575709781566,[10.30415579],[2.14581983],0.26259103367962766
1,Llama.png,30,10,alexnet,2.1416334663732415,[10.30415579],[2.14581983],0.26259103367962766
2,Llama.png,30,10,alexnet,-0.7439480143404502,[10.30415579],[2.14581983],0.26259103367962766
3,Llama.png,30,10,alexnet,-0.5518019950937916,[10.30415579],[2.14581983],0.26259103367962766
4,Llama.png,30,10,alexnet,-0.24222234424869882,[10.30415579],[2.14581983],0.26259103367962766
5,Llama.png,30,10,alexnet,6.30332675464527,[10.30415579],[2.14581983],0.26259103367962766
6,Llama.png,30,10,alexnet,-0.21776102095166738,[10.30415579],[2.14581983],0.26259103367962766
7,Llama.png,30,10,alexnet,-0.33575705949517953,[10.30415579],[2.14581983],0.26259103367962766
8,Llama.png,30,10,alexnet,2.900629892538251,[10.30415579],[2.14581983],0.26259103367962766
9,Llama.png,30,10,alexnet,0.7645504677570472,[10.30415579],[2.14581983],0.26259103367962766
10,Llama.png,30,10,alexnet,0.4148336897177991,[10.30415579],[2.14581983],0.26259103367962766
11,Llama.png,30,10,alexnet,0.4434998746070704,[10.30415579],[2.14581983],0.26259103367962766
12,Llama.png,30,10,alexnet,6.194929076367638,[10.30415579],[2.14581983],0.26259103367962766
13,Llama.png,30,10,alexnet,0.4927508384450885,[10.30415579],[2.14581983],0.26259103367962766
14,Llama.png,30,10,alexnet,1.098150427266047,[10.30415579],[2.14581983],0.26259103367962766
15,Llama.png,30,10,alexnet,0.49906493227669646,[10.30415579],[2.14581983],0.26259103367962766
16,Llama.png,30,10,alexnet,0.6326060570023007,[10.30415579],[2.14581983],0.26259103367962766
17,Llama.png,30,10,alexnet,1.815745126835826,[10.30415579],[2.14581983],0.26259103367962766
18,Llama.png,30,10,alexnet,0.6058579324798679,[10.30415579],[2.14581983],0.26259103367962766
19,Llama.png,30,10,alexnet,-0.3860555780345649,[10.30415579],[2.14581983],0.26259103367962766
0,Llama.png,30,1000,alexnet,0.7442383192396202,[10.30398605],[1.44812351],0.38911364860998715
1,Llama.png,30,1000,alexnet,0.4577981106174418,[10.30398605],[1.44812351],0.38911364860998715
2,Llama.png,30,1000,alexnet,0.6966297846684779,[10.30398605],[1.44812351],0.38911364860998715
3,Llama.png,30,1000,alexnet,0.1612686356030859,[10.30398605],[1.44812351],0.38911364860998715
4,Llama.png,30,1000,alexnet,0.8752376014528545,[10.30398605],[1.44812351],0.38911364860998715
5,Llama.png,30,1000,alexnet,1.6543791153246445,[10.30398605],[1.44812351],0.38911364860998715
6,Llama.png,30,1000,alexnet,0.6921574841741194,[10.30398605],[1.44812351],0.38911364860998715
7,Llama.png,30,1000,alexnet,0.899004872154844,[10.30398605],[1.44812351],0.38911364860998715
8,Llama.png,30,1000,alexnet,0.9010657075461417,[10.30398605],[1.44812351],0.38911364860998715
9,Llama.png,30,1000,alexnet,1.3174485687933428,[10.30398605],[1.44812351],0.38911364860998715
10,Llama.png,30,1000,alexnet,-1.027350121664746,[10.30398605],[1.44812351],0.38911364860998715
11,Llama.png,30,1000,alexnet,-0.416123082890544,[10.30398605],[1.44812351],0.38911364860998715
12,Llama.png,30,1000,alexnet,1.5424273076516073,[10.30398605],[1.44812351],0.38911364860998715
13,Llama.png,30,1000,alexnet,0.8563967823789036,[10.30398605],[1.44812351],0.38911364860998715
14,Llama.png,30,1000,alexnet,0.04918443399361738,[10.30398605],[1.44812351],0.38911364860998715
15,Llama.png,30,1000,alexnet,-1.0428526838572854,[10.30398605],[1.44812351],0.38911364860998715
16,Llama.png,30,1000,alexnet,-0.4283928577943579,[10.30398605],[1.44812351],0.38911364860998715
17,Llama.png,30,1000,alexnet,1.303536758782113,[10.30398605],[1.44812351],0.38911364860998715
18,Llama.png,30,1000,alexnet,0.7683076040423757,[10.30398605],[1.44812351],0.38911364860998715
19,Llama.png,30,1000,alexnet,-0.14128406554028583,[10.30398605],[1.44812351],0.38911364860998715
20,Llama.png,30,1000,alexnet,1.3282004796640536,[10.30398605],[1.44812351],0.38911364860998715
21,Llama.png,30,1000,alexnet,1.4842888724702998,[10.30398605],[1.44812351],0.38911364860998715
22,Llama.png,30,1000,alexnet,2.6401865089071377,[10.30398605],[1.44812351],0.38911364860998715
23,Llama.png,30,1000,alexnet,2.4260148807302917,[10.30398605],[1.44812351],0.38911364860998715
24,Llama.png,30,1000,alexnet,0.962594478355161,[10.30398605],[1.44812351],0.38911364860998715
0,Llama.png,30,1000,alexnet,-0.21135025643157856,[10.30399484],[1.86647475],0.30189774834616984
1,Llama.png,30,1000,alexnet,-1.0216614900331065,[10.30399484],[1.86647475],0.30189774834616984
2,Llama.png,30,1000,alexnet,-0.33975324200202905,[10.30399484],[1.86647475],0.30189774834616984
3,Llama.png,30,1000,alexnet,-0.4656201904835555,[10.30399484],[1.86647475],0.30189774834616984
4,Llama.png,30,1000,alexnet,-0.1437753982436485,[10.30399484],[1.86647475],0.30189774834616984
5,Llama.png,30,1000,alexnet,3.2909040152403244,[10.30399484],[1.86647475],0.30189774834616984
6,Llama.png,30,1000,alexnet,-0.7670721847530055,[10.30399484],[1.86647475],0.30189774834616984
7,Llama.png,30,1000,alexnet,-0.33573419540295113,[10.30399484],[1.86647475],0.30189774834616984
8,Llama.png,30,1000,alexnet,1.6546162439003727,[10.30399484],[1.86647475],0.30189774834616984
9,Llama.png,30,1000,alexnet,-0.32296620853166225,[10.30399484],[1.86647475],0.30189774834616984
10,Llama.png,30,1000,alexnet,1.0592040533743052,[10.30399484],[1.86647475],0.30189774834616984
11,Llama.png,30,1000,alexnet,-0.07247027765898473,[10.30399484],[1.86647475],0.30189774834616984
12,Llama.png,30,1000,alexnet,0.3011061204074936,[10.30399484],[1.86647475],0.30189774834616984
13,Llama.png,30,1000,alexnet,0.4903936719308497,[10.30399484],[1.86647475],0.30189774834616984
14,Llama.png,30,1000,alexnet,0.5409909839232308,[10.30399484],[1.86647475],0.30189774834616984
15,Llama.png,30,1000,alexnet,1.2334660327381881,[10.30399484],[1.86647475],0.30189774834616984
16,Llama.png,30,1000,alexnet,1.2572708231622514,[10.30399484],[1.86647475],0.30189774834616984
17,Llama.png,30,1000,alexnet,4.2732313323028865,[10.30399484],[1.86647475],0.30189774834616984
18,Llama.png,30,1000,alexnet,0.6863130599848883,[10.30399484],[1.86647475],0.30189774834616984
19,Llama.png,30,1000,alexnet,2.287069560642287,[10.30399484],[1.86647475],0.30189774834616984
20,Llama.png,30,1000,alexnet,2.843042179502363,[10.30399484],[1.86647475],0.30189774834616984
21,Llama.png,30,1000,alexnet,0.906613735771792,[10.30399484],[1.86647475],0.30189774834616984
22,Llama.png,30,1000,alexnet,2.0836991764749224,[10.30399484],[1.86647475],0.30189774834616984
23,Llama.png,30,1000,alexnet,0.8734252081301692,[10.30399484],[1.86647475],0.30189774834616984
24,Llama.png,30,1000,alexnet,0.9134509113164047,[10.30399484],[1.86647475],0.30189774834616984
0,Llama.png,40,10,alexnet,0.8049642523830558,[10.30399689],[1.63485535],0.344669508202719
1,Llama.png,40,10,alexnet,0.6112339601923891,[10.30399689],[1.63485535],0.344669508202719
2,Llama.png,40,10,alexnet,0.32501683876693566,[10.30399689],[1.63485535],0.344669508202719
3,Llama.png,40,10,alexnet,0.375346036937767,[10.30399689],[1.63485535],0.344669508202719
4,Llama.png,40,10,alexnet,0.5267639603870595,[10.30399689],[1.63485535],0.344669508202719
5,Llama.png,40,10,alexnet,1.9342986476348236,[10.30399689],[1.63485535],0.344669508202719
6,Llama.png,40,10,alexnet,4.071111299140058,[10.30399689],[1.63485535],0.344669508202719
7,Llama.png,40,10,alexnet,0.2506483374036037,[10.30399689],[1.63485535],0.344669508202719
8,Llama.png,40,10,alexnet,0.5172219016690436,[10.30399689],[1.63485535],0.344669508202719
9,Llama.png,40,10,alexnet,0.8829675615834964,[10.30399689],[1.63485535],0.344669508202719
10,Llama.png,40,10,alexnet,0.6623438633992973,[10.30399689],[1.63485535],0.344669508202719
11,Llama.png,40,10,alexnet,-0.7735133637076412,[10.30399689],[1.63485535],0.344669508202719
12,Llama.png,40,10,alexnet,-2.8576745156150185,[10.30399689],[1.63485535],0.344669508202719
13,Llama.png,40,10,alexnet,-0.40557450041597676,[10.30399689],[1.63485535],0.344669508202719
14,Llama.png,40,10,alexnet,-0.6947989248715611,[10.30399689],[1.63485535],0.344669508202719
15,Llama.png,40,10,alexnet,-0.7369478268065839,[10.30399689],[1.63485535],0.344669508202719
16,Llama.png,40,10,alexnet,-0.09315415308260899,[10.30399689],[1.63485535],0.344669508202719
17,Llama.png,40,10,alexnet,-0.46276641465065893,[10.30399689],[1.63485535],0.344669508202719
18,Llama.png,40,10,alexnet,-1.1767062830742647,[10.30399689],[1.63485535],0.344669508202719
19,Llama.png,40,10,alexnet,1.5222646238986441,[10.30399689],[1.63485535],0.344669508202719
20,Llama.png,40,10,alexnet,-0.08838537246681266,[10.30399689],[1.63485535],0.344669508202719
21,Llama.png,40,10,alexnet,-0.36681866074219194,[10.30399689],[1.63485535],0.344669508202719
22,Llama.png,40,10,alexnet,1.5970532353580098,[10.30399689],[1.63485535],0.344669508202719
23,Llama.png,40,10,alexnet,0.7987188420590652,[10.30399689],[1.63485535],0.344669508202719
24,Llama.png,40,10,alexnet,0.7792422058390827,[10.30399689],[1.63485535],0.344669508202719
25,Llama.png,40,10,alexnet,1.5082627287491652,[10.30399689],[1.63485535],0.344669508202719
26,Llama.png,40,10,alexnet,0.5915258315045295,[10.30399689],[1.63485535],0.344669508202719
27,Llama.png,40,10,alexnet,1.963035222481878,[10.30399689],[1.63485535],0.344669508202719
28,Llama.png,40,10,alexnet,0.6161326669699845,[10.30399689],[1.63485535],0.344669508202719
29,Llama.png,40,10,alexnet,2.3123818113140677,[10.30399689],[1.63485535],0.344669508202719
30,Llama.png,40,10,alexnet,1.6824130716725243,[10.30399689],[1.63485535],0.344669508202719
31,Llama.png,40,10,alexnet,2.155486534076486,[10.30399689],[1.63485535],0.344669508202719
0,Llama.png,40,10,alexnet,0.05783129407041798,[10.303997],[1.8807546],0.2996056951896759
1,Llama.png,40,10,alexnet,-0.19116724154679066,[10.303997],[1.8807546],0.2996056951896759
2,Llama.png,40,10,alexnet,0.23649365161614444,[10.303997],[1.8807546],0.2996056951896759
3,Llama.png,40,10,alexnet,0.04118279835122873,[10.303997],[1.8807546],0.2996056951896759
4,Llama.png,40,10,alexnet,-0.03959849992099507,[10.303997],[1.8807546],0.2996056951896759
5,Llama.png,40,10,alexnet,-0.08436401546740946,[10.303997],[1.8807546],0.2996056951896759
6,Llama.png,40,10,alexnet,8.504908454312453,[10.303997],[1.8807546],0.2996056951896759
7,Llama.png,40,10,alexnet,-0.4664152905243917,[10.303997],[1.8807546],0.2996056951896759
8,Llama.png,40,10,alexnet,0.05103335534016207,[10.303997],[1.8807546],0.2996056951896759
9,Llama.png,40,10,alexnet,-0.2476880191755999,[10.303997],[1.8807546],0.2996056951896759
10,Llama.png,40,10,alexnet,-0.0662612094229651,[10.303997],[1.8807546],0.2996056951896759
11,Llama.png,40,10,alexnet,0.16959135114984392,[10.303997],[1.8807546],0.2996056951896759
12,Llama.png,40,10,alexnet,-0.0447668331472304,[10.303997],[1.8807546],0.2996056951896759
13,Llama.png,40,10,alexnet,-0.16076355293719669,[10.303997],[1.8807546],0.2996056951896759
14,Llama.png,40,10,alexnet,2.153340033369774,[10.303997],[1.8807546],0.2996056951896759
15,Llama.png,40,10,alexnet,0.08191321839475574,[10.303997],[1.8807546],0.2996056951896759
16,Llama.png,40,10,alexnet,0.028715583896052443,[10.303997],[1.8807546],0.2996056951896759
17,Llama.png,40,10,alexnet,-0.06323459915765994,[10.303997],[1.8807546],0.2996056951896759
18,Llama.png,40,10,alexnet,0.058630332891796755,[10.303997],[1.8807546],0.2996056951896759
19,Llama.png,40,10,alexnet,0.5228545101410704,[10.303997],[1.8807546],0.2996056951896759
20,Llama.png,40,10,alexnet,-0.3178387690425435,[10.303997],[1.8807546],0.2996056951896759
21,Llama.png,40,10,alexnet,0.01608629049498944,[10.303997],[1.8807546],0.2996056951896759
22,Llama.png,40,10,alexnet,3.236645177523701,[10.303997],[1.8807546],0.2996056951896759
23,Llama.png,40,10,alexnet,0.9058741113627327,[10.303997],[1.8807546],0.2996056951896759
24,Llama.png,40,10,alexnet,2.505269985055911,[10.303997],[1.8807546],0.2996056951896759
25,Llama.png,40,10,alexnet,0.8692573584951298,[10.303997],[1.8807546],0.2996056951896759
26,Llama.png,40,10,alexnet,0.8657339273813038,[10.303997],[1.8807546],0.2996056951896759
27,Llama.png,40,10,alexnet,0.11905502112380972,[10.303997],[1.8807546],0.2996056951896759
28,Llama.png,40,10,alexnet,0.5873110863207502,[10.303997],[1.8807546],0.2996056951896759
29,Llama.png,40,10,alexnet,0.6740733772567888,[10.303997],[1.8807546],0.2996056951896759
30,Llama.png,40,10,alexnet,-0.5493646369759437,[10.303997],[1.8807546],0.2996056951896759
31,Llama.png,40,10,alexnet,-0.2742632471102322,[10.303997],[1.8807546],0.2996056951896759
0,Llama.png,40,1000,alexnet,0.8237066380504801,[10.30399698],[1.35773236],0.41501904660786104
1,Llama.png,40,1000,alexnet,0.8232661534099472,[10.30399698],[1.35773236],0.41501904660786104
2,Llama.png,40,1000,alexnet,0.8739629803486797,[10.30399698],[1.35773236],0.41501904660786104
3,Llama.png,40,1000,alexnet,0.7081532987197772,[10.30399698],[1.35773236],0.41501904660786104
4,Llama.png,40,1000,alexnet,0.605410777460198,[10.30399698],[1.35773236],0.41501904660786104
5,Llama.png,40,1000,alexnet,0.9663058696454669,[10.30399698],[1.35773236],0.41501904660786104
6,Llama.png,40,1000,alexnet,0.915531496631925,[10.30399698],[1.35773236],0.41501904660786104
7,Llama.png,40,1000,alexnet,0.6541887492954901,[10.30399698],[1.35773236],0.41501904660786104
8,Llama.png,40,1000,alexnet,0.6128147647962998,[10.30399698],[1.35773236],0.41501904660786104
