,image,superpixels,compactness,model,pixel_index,shap_value,cred_width
0,Llama.png,10,1000,vgg16,0,2.5068350735752962,2.2307504503749986
1,Llama.png,10,1000,vgg16,1,3.4204156208802283,2.277324034626789
2,Llama.png,10,1000,vgg16,2,0.49919879308629456,2.075325531514077
3,Llama.png,10,1000,vgg16,3,0.10209771297501813,1.7351235813642751
4,Llama.png,10,1000,vgg16,4,2.2941080970133596,2.289667423576376
5,Llama.png,10,1000,vgg16,5,0.8608276642676995,2.006599686546515
6,Llama.png,10,1000,vgg16,6,1.3823180781058815,1.9185954268878436
7,Llama.png,10,1000,vgg16,7,3.128444021831809,2.250066139722309
8,Llama.png,10,1000,vgg16,8,1.816669631790028,1.9996221332872777
0,Llama.png,20,1000,vgg16,0,-0.012306757267198432,6.689272652673097
1,Llama.png,20,1000,vgg16,1,3.2906886545796508,6.7044229603084515
2,Llama.png,20,1000,vgg16,2,-1.2892662055927522,6.682199745890039
3,Llama.png,20,1000,vgg16,3,-0.008343133358561516,6.559633336057471
4,Llama.png,20,1000,vgg16,4,-0.6702421884207079,6.701581874589526
5,Llama.png,20,1000,vgg16,5,6.324643739822229,6.573333292016139
6,Llama.png,20,1000,vgg16,6,-1.5953758524246453,6.610264386973918
7,Llama.png,20,1000,vgg16,7,-0.7860738647075944,6.686430020484703
8,Llama.png,20,1000,vgg16,8,-0.9415128410075,6.81664798078875
9,Llama.png,20,1000,vgg16,9,-0.20147426297662108,6.4920568828996315
10,Llama.png,20,1000,vgg16,10,0.02154981274422152,6.5974708066237575
11,Llama.png,20,1000,vgg16,11,4.678870040894251,6.661693888211169
12,Llama.png,20,1000,vgg16,12,1.6305423506500785,6.6467078633582775
13,Llama.png,20,1000,vgg16,13,1.762252194832489,6.733132300647476
14,Llama.png,20,1000,vgg16,14,0.7587710932603637,6.671712641500272
15,Llama.png,20,1000,vgg16,15,2.8366741981253076,6.613108535120175
0,Llama.png,30,1000,vgg16,0,0.5971462768985973,7.546341465471708
1,Llama.png,30,1000,vgg16,1,0.15677059720617015,7.53026083352281
2,Llama.png,30,1000,vgg16,2,-0.10841350091716251,7.495023747708326
3,Llama.png,30,1000,vgg16,3,-0.10573671451092981,7.5547932919180205
4,Llama.png,30,1000,vgg16,4,0.602480467461143,7.473439722457948
5,Llama.png,30,1000,vgg16,5,4.243103539959421,7.51094137937696
6,Llama.png,30,1000,vgg16,6,-0.6323575143007067,7.6110710531851815
7,Llama.png,30,1000,vgg16,7,-0.09076939883340351,7.448111045363101
8,Llama.png,30,1000,vgg16,8,-0.12443584114828887,7.46165860132812
9,Llama.png,30,1000,vgg16,9,-0.24181394188211325,7.333783002426383
10,Llama.png,30,1000,vgg16,10,-0.1923203391482513,7.666500644563474
11,Llama.png,30,1000,vgg16,11,-1.0324526768490943,7.646746507492572
12,Llama.png,30,1000,vgg16,12,0.26140797448511144,7.475773815940108
13,Llama.png,30,1000,vgg16,13,0.5060374984839742,7.611772866687046
14,Llama.png,30,1000,vgg16,14,0.19427731086391242,7.532097037770249
15,Llama.png,30,1000,vgg16,15,0.6002704793283571,7.517955236438281
16,Llama.png,30,1000,vgg16,16,-0.4207094228319477,7.609682030571172
17,Llama.png,30,1000,vgg16,17,1.4715932805467524,7.58672950378075
18,Llama.png,30,1000,vgg16,18,0.057812528905877514,7.541878879269189
19,Llama.png,30,1000,vgg16,19,-0.42420815045379356,7.416661949557448
20,Llama.png,30,1000,vgg16,20,3.5775195276853125,7.393386629037729
21,Llama.png,30,1000,vgg16,21,1.2929851657653453,7.54594932009321
22,Llama.png,30,1000,vgg16,22,3.5163659276692933,7.528582793946116
23,Llama.png,30,1000,vgg16,23,1.525373670077419,7.355881485578927
24,Llama.png,30,1000,vgg16,24,1.0537301617292343,7.48306207268123
0,Llama.png,40,1000,vgg16,0,0.8705349198315342,8.431173806703724
1,Llama.png,40,1000,vgg16,1,0.5070301350118949,8.250276375559539
2,Llama.png,40,1000,vgg16,2,0.19905316705247467,8.42153675636265
3,Llama.png,40,1000,vgg16,3,-0.5374820149813271,8.448733527446688
4,Llama.png,40,1000,vgg16,4,-0.22920036415384626,8.382480582145211
5,Llama.png,40,1000,vgg16,5,0.48373825335284293,8.332956668871393
6,Llama.png,40,1000,vgg16,6,0.14460567583474893,8.599520531286869
7,Llama.png,40,1000,vgg16,7,0.5819901301210373,8.354917810843705
8,Llama.png,40,1000,vgg16,8,0.8494008095470331,8.236790383935407
9,Llama.png,40,1000,vgg16,9,-0.6652117837581928,8.433230850720685
10,Llama.png,40,1000,vgg16,10,-0.09331929518415194,8.527556852549425
11,Llama.png,40,1000,vgg16,11,-0.07394591788208338,8.455136079348438
12,Llama.png,40,1000,vgg16,12,0.04004872053127073,8.419085742543055
13,Llama.png,40,1000,vgg16,13,-0.10695251019874341,8.52362003716988
14,Llama.png,40,1000,vgg16,14,-0.24908337603655273,8.486555221983128
15,Llama.png,40,1000,vgg16,15,-0.16461429789897153,8.454424899866476
16,Llama.png,40,1000,vgg16,16,-0.7305930522008239,8.420774158441967
17,Llama.png,40,1000,vgg16,17,-0.03684158268685511,8.375484784337472
18,Llama.png,40,1000,vgg16,18,1.04751003445591,8.46198193204645
19,Llama.png,40,1000,vgg16,19,1.0672458521825536,8.356682889664794
20,Llama.png,40,1000,vgg16,20,1.708812196641989,8.421729538172956
21,Llama.png,40,1000,vgg16,21,-0.5539193146721759,8.526937479128156
22,Llama.png,40,1000,vgg16,22,-0.8334482555891807,8.557660790334184
23,Llama.png,40,1000,vgg16,23,0.6213403219862093,8.498572975442684
24,Llama.png,40,1000,vgg16,24,0.9899062839185686,8.632975916282922
25,Llama.png,40,1000,vgg16,25,0.21678670143827983,8.468752843282735
26,Llama.png,40,1000,vgg16,26,-0.01713935574414549,8.543772659527786
27,Llama.png,40,1000,vgg16,27,0.14613330590417828,8.3602787539729
28,Llama.png,40,1000,vgg16,28,-0.2200034005394471,8.545979146717853
29,Llama.png,40,1000,vgg16,29,0.394775378489701,8.451306204597682
30,Llama.png,40,1000,vgg16,30,1.3017324537484978,8.352177691367217
31,Llama.png,40,1000,vgg16,31,1.6802278924762657,8.569084712062603
32,Llama.png,40,1000,vgg16,32,2.147471549294472,8.313050929101458
33,Llama.png,40,1000,vgg16,33,1.3478864544206863,8.54768358421393
34,Llama.png,40,1000,vgg16,34,2.232963742652768,8.525842345945874
35,Llama.png,40,1000,vgg16,35,2.4256679523893228,8.39697295206541
0,Llama.png,50,1000,vgg16,0,0.7692248662268657,9.896205064170001
1,Llama.png,50,1000,vgg16,1,0.27553773600445286,9.743280949217372
2,Llama.png,50,1000,vgg16,2,-0.12642182376736777,9.666668751727174
3,Llama.png,50,1000,vgg16,3,-0.5059999952675227,9.908364661477549
4,Llama.png,50,1000,vgg16,4,-0.32570534425677966,9.743585588606534
5,Llama.png,50,1000,vgg16,5,-0.3420018756429828,9.831489883513667
6,Llama.png,50,1000,vgg16,6,0.6366945195856051,9.763703308533685
7,Llama.png,50,1000,vgg16,7,0.37263382518161237,9.778524749692629
8,Llama.png,50,1000,vgg16,8,0.05708945307148383,9.665509974993203
9,Llama.png,50,1000,vgg16,9,0.8525910583516603,10.029824377182543
10,Llama.png,50,1000,vgg16,10,-0.5771632131854725,9.86466499232504
11,Llama.png,50,1000,vgg16,11,-0.29455329240665584,9.829248199601313
12,Llama.png,50,1000,vgg16,12,-0.07753529717215102,9.857783822182514
13,Llama.png,50,1000,vgg16,13,0.31108670302761077,9.755500322303966
14,Llama.png,50,1000,vgg16,14,-0.04863132783351176,9.717268816917112
15,Llama.png,50,1000,vgg16,15,0.12674035866215583,9.736735661750872
16,Llama.png,50,1000,vgg16,16,0.3045483842815129,9.88537224132099
17,Llama.png,50,1000,vgg16,17,-0.3368718331645111,9.889172292389647
18,Llama.png,50,1000,vgg16,18,-0.6379818166508846,9.767821662622769
19,Llama.png,50,1000,vgg16,19,-0.516630440250724,9.894992413956354
20,Llama.png,50,1000,vgg16,20,0.19352106700178417,9.956532041487195
21,Llama.png,50,1000,vgg16,21,0.5156378698913531,9.837021312259058
22,Llama.png,50,1000,vgg16,22,-0.16516762378606487,9.908914958222658
23,Llama.png,50,1000,vgg16,23,-0.3341687750722624,9.952433377438712
24,Llama.png,50,1000,vgg16,24,-0.1793086763051015,9.84208977500438
25,Llama.png,50,1000,vgg16,25,-0.459469866583051,9.889257074277866
26,Llama.png,50,1000,vgg16,26,0.05774857756117946,9.737998338598516
27,Llama.png,50,1000,vgg16,27,0.2655068291345639,9.708927279466753
28,Llama.png,50,1000,vgg16,28,0.09187770758603797,9.757260716749554
29,Llama.png,50,1000,vgg16,29,-0.2140513014851786,9.714816342639866
30,Llama.png,50,1000,vgg16,30,-0.37618192128406136,9.748659924141501
31,Llama.png,50,1000,vgg16,31,0.5081295148032794,9.704598688248478
32,Llama.png,50,1000,vgg16,32,0.8142248608493072,9.793918492119078
33,Llama.png,50,1000,vgg16,33,0.5846621202870681,9.87931189634953
34,Llama.png,50,1000,vgg16,34,1.265629973132032,9.77341478857563
35,Llama.png,50,1000,vgg16,35,0.34229253537928495,9.804045191499005
36,Llama.png,50,1000,vgg16,36,0.2798569866615761,9.683268169500288
37,Llama.png,50,1000,vgg16,37,0.14367297320244177,9.691137929980274
38,Llama.png,50,1000,vgg16,38,0.3885987391949861,9.781515131092867
39,Llama.png,50,1000,vgg16,39,0.39376189986754184,9.95734044569464
40,Llama.png,50,1000,vgg16,40,0.9738543500352836,9.837384457960486
41,Llama.png,50,1000,vgg16,41,0.6625534088855982,9.78914860022812
42,Llama.png,50,1000,vgg16,42,1.3986625065239582,9.789562449099872
43,Llama.png,50,1000,vgg16,43,1.6001380579281674,9.781688445001368
44,Llama.png,50,1000,vgg16,44,0.8550375839635773,9.746893402000742
45,Llama.png,50,1000,vgg16,45,1.597171719412076,9.815330363571961
46,Llama.png,50,1000,vgg16,46,1.372499718832307,9.896322572047218
47,Llama.png,50,1000,vgg16,47,2.171859329320778,9.82601738394133
48,Llama.png,50,1000,vgg16,48,2.0059346312559807,9.644613106875456
0,Llama.png,50,1000,alexnet,0,0.9039815871973484,9.574923777711957
1,Llama.png,50,1000,alexnet,1,0.74876764957857,9.647627514665336
2,Llama.png,50,1000,alexnet,2,0.8558662167567501,9.419933279988877
3,Llama.png,50,1000,alexnet,3,1.1170425660780299,9.522084519737023
4,Llama.png,50,1000,alexnet,4,1.1113844115266613,9.398942983142286
5,Llama.png,50,1000,alexnet,5,0.9865567808953939,9.449842854352063
6,Llama.png,50,1000,alexnet,6,1.335415146705445,9.558628098470809
7,Llama.png,50,1000,alexnet,7,0.5793521309068255,9.489687269561387
8,Llama.png,50,1000,alexnet,8,0.07807722823387753,9.60808464886328
9,Llama.png,50,1000,alexnet,9,0.6928664804188158,9.442072488767256
10,Llama.png,50,1000,alexnet,10,0.5611834135577962,9.584025571770452
11,Llama.png,50,1000,alexnet,11,0.653882090890618,9.566354156723815
12,Llama.png,50,1000,alexnet,12,0.6417051183812301,9.392928978102843
13,Llama.png,50,1000,alexnet,13,1.0799437359300739,9.442415158540545
14,Llama.png,50,1000,alexnet,14,0.18661218242739164,9.523313688432044
15,Llama.png,50,1000,alexnet,15,0.2054027683165045,9.416188105499055
16,Llama.png,50,1000,alexnet,16,-0.20083808218835753,9.314342135065258
17,Llama.png,50,1000,alexnet,17,0.06931847352877796,9.294904135947565
18,Llama.png,50,1000,alexnet,18,0.227486519941678,9.39416199835406
19,Llama.png,50,1000,alexnet,19,0.33505672348616633,9.546581291696539
20,Llama.png,50,1000,alexnet,20,1.06254875787947,9.347094246340573
21,Llama.png,50,1000,alexnet,21,-0.05493732702454146,9.533855434070475
22,Llama.png,50,1000,alexnet,22,-0.464247422223135,9.597354821172251
23,Llama.png,50,1000,alexnet,23,-0.32648201353948103,9.44424824092387
24,Llama.png,50,1000,alexnet,24,-0.6012688017207868,9.426952032152098
25,Llama.png,50,1000,alexnet,25,-0.09717059548306217,9.615956328018427
26,Llama.png,50,1000,alexnet,26,0.3334205365259635,9.633657975555677
27,Llama.png,50,1000,alexnet,27,1.177766743931397,9.54899944364099
28,Llama.png,50,1000,alexnet,28,0.1649144873225783,9.419021582360845
29,Llama.png,50,1000,alexnet,29,-0.25346168057850793,9.42013536511212
30,Llama.png,50,1000,alexnet,30,-0.5438075557694972,9.463603412495415
31,Llama.png,50,1000,alexnet,31,-1.1040430544448085,9.501354811795618
32,Llama.png,50,1000,alexnet,32,-0.6036472453817181,9.401353251667942
33,Llama.png,50,1000,alexnet,33,-0.955420278956078,9.612350119213437
34,Llama.png,50,1000,alexnet,34,0.8933480036424637,9.57854901049519
35,Llama.png,50,1000,alexnet,35,0.5307399467547436,9.515735325748587
36,Llama.png,50,1000,alexnet,36,0.14163493862154652,9.555118717623696
37,Llama.png,50,1000,alexnet,37,0.05365633843800133,9.368219299172766
38,Llama.png,50,1000,alexnet,38,-0.023504072078234906,9.48189383092446
39,Llama.png,50,1000,alexnet,39,-0.3885733607052808,9.464933408168445
40,Llama.png,50,1000,alexnet,40,-0.1314176272225831,9.274192037582665
41,Llama.png,50,1000,alexnet,41,1.0575161026847155,9.673944007035841
42,Llama.png,50,1000,alexnet,42,1.2312791595713537,9.536021352970765
43,Llama.png,50,1000,alexnet,43,0.5125632515884275,9.515675888959194
44,Llama.png,50,1000,alexnet,44,0.853946582700932,9.436921602910216
45,Llama.png,50,1000,alexnet,45,0.9525027340924823,9.294809228441771
46,Llama.png,50,1000,alexnet,46,0.6701229595272271,9.3976251404928
47,Llama.png,50,1000,alexnet,47,0.9481534574642838,9.286879530210477
48,Llama.png,50,1000,alexnet,48,1.5005575224600927,9.543015990658848
0,Llama.png,40,1000,alexnet,0,0.8237064770945728,7.831560888494982
1,Llama.png,40,1000,alexnet,1,0.8232667018632478,7.9487015551521525
2,Llama.png,40,1000,alexnet,2,0.8739636114293803,7.916115484375594
3,Llama.png,40,1000,alexnet,3,0.7081531318656991,7.970782876935731
4,Llama.png,40,1000,alexnet,4,0.6054106845597258,8.073816018203395
5,Llama.png,40,1000,alexnet,5,0.9663064968060526,7.847115615350702
6,Llama.png,40,1000,alexnet,6,0.9155314239323089,8.008531700778953
7,Llama.png,40,1000,alexnet,7,0.6541885741352527,7.947787653306912
8,Llama.png,40,1000,alexnet,8,0.6128146048190275,7.929806853066877
9,Llama.png,40,1000,alexnet,9,0.3060826003100203,7.966313874959199
10,Llama.png,40,1000,alexnet,10,0.34375916192068434,8.053916707960703
11,Llama.png,40,1000,alexnet,11,0.48596520959658607,7.90496594215219
12,Llama.png,40,1000,alexnet,12,0.49209338747850495,7.864696690135431
13,Llama.png,40,1000,alexnet,13,-0.013215838159455373,7.952494159261522
14,Llama.png,40,1000,alexnet,14,-0.16872236130786344,7.876185963599596
15,Llama.png,40,1000,alexnet,15,-0.08124139884127946,7.94404660393306
16,Llama.png,40,1000,alexnet,16,0.11306150378319035,7.888951893392318
17,Llama.png,40,1000,alexnet,17,0.8701773025583357,7.8596695833686265
18,Llama.png,40,1000,alexnet,18,0.8519371960138447,7.898441745100761
19,Llama.png,40,1000,alexnet,19,-0.21583259660280696,8.004076711057394
20,Llama.png,40,1000,alexnet,20,0.22375837519264152,7.784383057897439
